Centre Name,Total,Aggregate,
0422-HATKANGALE 07,1,0.00007376,
0309-WALWA-16,16,0.00118012,
0124-SHIROL 03,7,0.0005163,
0138-BHAVANI NAGAR 01,11,0.00081133,
0155-TAKWADE 06,13,0.00095884,
0376-DEV CHOTIYA-2,1,0.00007376,
0063-TARALE-03,10,0.00073757,
0318-SAVARKAR NAGAR - B,2,0.00014751,
0159-SHAPUR 05,4,0.00029503,
0294-VINJOL-2,2,0.00014751,
0060-RANJITPURA-A,1,0.00007376,
0367-ASHTA-28,3,0.00022127,
0259-GOVINDPURA-D,2,0.00014751,
0180-BHAVANI NAGAR 04,10,0.00073757,
0314-VADVALI MUVADI-2,2,0.00014751,
0225-NASINGHPURA-B,15,0.00110636,
0151-SARNOBATWADI 02,1,0.00007376,
0360-AMBAJIPURA-B,1,0.00007376,
0053-ALATE 02,2,0.00014751,
0044-THIKARIYA KHURD-A,2,0.00014751,
0020-RANGOLI 03,4,0.00029503,
0317-THAKOR WAS KOCHRAB,1,0.00007376,
0440-JALIYA VANTA,11,0.00081133,
0464-SANKALCHAND MUKHI NI CHALI-3,1,0.00007376,
0021-CHHOTUBHAI HOUSING SOCIETY,1,0.00007376,
0383-GUJARATI MANDIR - 02,4,0.00029503,
0700-VALLA-1,6,0.00044254,
0188-DUDHOND 03,10,0.00073757,
0092-JAYSINGPUR 15,3,0.00022127,
0103-KAPUSKHED 02,3,0.00022127,
0254-ASHELEPADA-14,5,0.00036879,
0399-RAMGALI,10,0.00073757,
0065-GAUTAM NAGAR-07,3,0.00022127,
0061-BETHEL NAGAR 04,1,0.00007376,
0375-SANGLI NAKA-02,9,0.00066381,
0257-ISRAYEEL NAGAR 01,11,0.00081133,
0449-VAITIWADI-01,1,0.00007376,
0061-KOROCHI 07,8,0.00059006,
0420-KHALADI-3,1,0.00007376,
0190-LALVADI ALARSA,1,0.00007376,
0067-RANGOLI-04,3,0.00022127,
0081-MHADA COLONY KANJUR-5,2,0.00014751,
0352-GAIKWAD PADA-12,2,0.00014751,
0145-MURLIPURA-B,3,0.00022127,
0201-MANPADA-09,1,0.00007376,
0175-ASHALE PADA-6,1,0.00007376,
0056-ANKALKHOP 02,6,0.00044254,
0174-ASHELE PADA-7,2,0.00014751,
0273-DHULGAON 05,5,0.00036879,
0025-LIMBONI BAUG -05,3,0.00022127,
0192-KALAMWADI 01,7,0.0005163,
0230-BHILESHWAR,1,0.00007376,
0232-TATA NAGAR-14,1,0.00007376,
0222-C-SECTOR-06,3,0.00022127,
0041-KANWARSA-A,1,0.00007376,
0213-SHIRATE-02,9,0.00066381,
0353-ASHELEPADA - 19,3,0.00022127,
