Centre Name,Total,Aggregate,
0169-MUNDIYA RAMSAR-B,3,0.00022127,
0432-SN RAJKAMAL- 03,11,0.00081133,
0122-PALASA-C,10,0.00073757,
0192-SANTOSI MATA KA MANDIR,10,0.00073757,
0006-SHIRALA- 1&2,4,0.00029503,
0175-MUNDOTI-B,1,0.00007376,
0306-PANCHSHIL NAGAR-03,3,0.00022127,
0308-SN AYESHA SCHOOL 01,6,0.00044254,
0241-SHEKHAWATI NAGAR-A,1,0.00007376,
0170-KURUNDWAD 07,3,0.00022127,
0307-ERAL-3,1,0.00007376,
0046-RAVIVAR PETH 01,1,0.00007376,
0391-AMBALAL NI CHALI,2,0.00014751,
0147-BHAVANI NAGAR-02,8,0.00059006,
0181-KHOBALIPURA (KUNJRAO),1,0.00007376,
0035-SANSOLI,4,0.00029503,
0027-MALGAON 08,3,0.00022127,
0411-SAMRATH ASHOK NAGAR-16,6,0.00044254,
0006-KAILASHNAGAR 1,13,0.00095884,
0354-NIPANIVESH KAGAL 03,5,0.00036879,
0022-BAIGANWADI - 01,6,0.00044254,
0278-LAXMICHAND NI CHALI-2,2,0.00014751,
0398-AMIR BAUG-02,5,0.00036879,
0055-ASHTA 07,2,0.00014751,
0273-NARANDE 02,1,0.00007376,
0352-JAYSINGUR 35,16,0.00118012,
0262-PAGIYANA MUVADA,7,0.0005163,
0253-KURUNWAD14,8,0.00059006,
0273-RENWAL -Q,3,0.00022127,
0505-RAI RESIDENCY,1,0.00007376,
0233-A SECTOR -07,11,0.00081133,
0059-NEERPUR NRL-A,1,0.00007376,
0150-PETH 01,8,0.00059006,
0395-YOGESHWAR NAGAR,8,0.00059006,
0068-PORDA-1,5,0.00036879,
0116-KHOTWADI 04,6,0.00044254,
0470-INDIRA NAGAR SHAHVADI-5,3,0.00022127,
0313-MUKUND NAGER 01,11,0.00081133,
0365-KAMLAKAR NAGAR - 13,5,0.00036879,
0115-SN AJMERI MASJID-02,5,0.00036879,
0361-PITHAI GAM TAL,2,0.00014751,
0607-MOTILAL NARAYANDAS NI CHALI-2,7,0.0005163,
0402-YADRAV 14,6,0.00044254,
0278-MARIYA PARK-2,2,0.00014751,
0350-RAMANMALA 06,7,0.0005163,
0253-KACHANAR-C,1,0.00007376,
0205-NERALE 02,11,0.00081133,
0353-OLD FISH MARKET 3,7,0.0005163,
0211-BORGAON 07,11,0.00081133,
0055-VIRAMPURA BAMROLI,4,0.00029503,
0100-YADRAV 06,4,0.00029503,
0342-ISLAMPUR-34,12,0.00088509,
0253-MURLIPURA-D,4,0.00029503,
0098-BAGAWAS-B,1,0.00007376,
0391-SAMBHAJINAGAR 04,1,0.00007376,
0158-SN LOTUS COLONY-12,1,0.00007376,
0340-NEW SHANTI NAGAR - 1,2,0.00014751,
0127-NEJ 4,6,0.00044254,
0384-JAWAHAR CHOWK-3,1,0.00007376,
0298-RENDAL 02,11,0.00081133,
0223-MLA-3,12,0.00088509,
0014-GANESH NAGAR 01,2,0.00014751,
0384-GAIKWAD PADA-15,1,0.00007376,
0022-PINGALI,10,0.00073757,
0178-PREM COLONY-A AGRA ROAD,2,0.00014751,
0375-JUNEKHED-03,7,0.0005163,
0124-VASNA-2,2,0.00014751,
0239-NAGTHANE-05,9,0.00066381,
0253-SAMRAT ASHOK NAGAR - 14,2,0.00014751,
0380-TATA NAGAR-23,2,0.00014751,
0170-DHAROLA NISHAL FALIYU,2,0.00014751,
0352-ANAND NAGAR - 03,2,0.00014751,
0014-JAYSINGPUR SHAHU NAGAR 01,8,0.00059006,
0458-BHASKAR NAGAR-01,2,0.00014751,
0044-HIRANANDANI-02,7,0.0005163,
0119-VANSOL SUDHA (MAHEMDAVAD),12,0.00088509,
0252-TASAKOLA-A,2,0.00014751,
0201-NARDAS NAGAR - 02,3,0.00022127,
0134-YADRAV 09,4,0.00029503,
0062-CHINCHPADA-04,1,0.00007376,
0276-SN JAFRI SCHOOL-08,1,0.00007376,
0068-SANGLI 21,9,0.00066381,
0526-NILKANTH NAGAR 1,1,0.00007376,
0156-ASHTA 14,1,0.00007376,
0205-BONDRE NAGAR 04,1,0.00007376,
0364-BUDDHA NAGAR -11,1,0.00007376,
0355-AUNDI-02,17,0.00125387,
0134-RETHARE BUDRUK-06,6,0.00044254,
0098-RAM NAGAR-03,1,0.00007376,
0373-HARI OM NAGAR-4,5,0.00036879,
0473-KOLSEWADI-17,10,0.00073757,
0231-KHAN BHAG 04,7,0.0005163,
0271-AKUJ NAGAR 06,9,0.00066381,
0537-PATRAVALI CHALI-2,2,0.00014751,
0166-WATEGAON 01,8,0.00059006,
0262-JHARNA-A,3,0.00022127,
0260-GALAJINI CHALI,1,0.00007376,
0172-CHHIPADI PATIYA,1,0.00007376,
0029-METAL NAGAR - 1,2,0.00014751,
0518-DALYAJI NI MUVADI-1,4,0.00029503,
0225-KADAVIYA KAROLI CHALALI FALIYU,1,0.00007376,
0245-NANDANI 05,4,0.00029503,
0090-LALLUBHAI COMP-08,2,0.00014751,
0139-BELANGIPURA-2,1,0.00007376,
0394-JORAPURA-4,2,0.00014751,
0388-MAHAMADPURA,5,0.00036879,
0246-NAVARE NAGAR-3,2,0.00014751,
0362-SHIRASHI-01,15,0.00110636,
0098-PATEL VAS,2,0.00014751,
0120-KAKACHIWADI 01,5,0.00036879,
0313-ANANDWADI - 14,2,0.00014751,
0453-BHAWANI NAGAR,1,0.00007376,
0024-CHANDUR 02,1,0.00007376,
0021-BAINGANWADI - 02,1,0.00007376,
0455-ASHELE PADA-26,1,0.00007376,
0365-HUPARI 13,3,0.00022127,
0191-DADI KA FATAK-F,1,0.00007376,
0397-SINDIKET,3,0.00022127,
0054-SHYAM NAGAR-A,1,0.00007376,
0558-ARYODAY MIL NI CHALI-3,2,0.00014751,
0328-RETHARE BU-13,10,0.00073757,
0273-GANPAT NAGAR VASNA-2,2,0.00014751,
0152-DHOBI KI DHANI,2,0.00014751,
0562-ARATI SOCIETY-2,3,0.00022127,
0053-NISARE-01,2,0.00014751,
0076-WARNALI-13,4,0.00029503,
0393-KHARDEKAR CHOUK 01,11,0.00081133,
0168-ISLAMPUR 08,1,0.00007376,
0294-PANCHVATI SOCIETY,6,0.00044254,
0285-PATRAVALI CHALI,1,0.00007376,
0260-GANDHI NAGAR - 1,1,0.00007376,
0067-GORI KA MOHLLA-A,1,0.00007376,
0463-KADI-2,3,0.00022127,
0309-SAJORA,7,0.0005163,
0002-ADARSH NAGAR -01,2,0.00014751,
0530-CHINCHPADA-07,1,0.00007376,
0170-BHAVANI NAGAR 03,9,0.00066381,
0070-WARNALI 14,5,0.00036879,
0003-ARAD,1,0.00007376,
0179-ROJAWADI 01,7,0.0005163,
0371-NARSINGPUR-04,6,0.00044254,
0025-BONDRE NAGAR-01,1,0.00007376,
0031-RETHARE BU 01,10,0.00073757,
0029-S N LOTUS COLONY-1,3,0.00022127,
0204-ANANDWADI-07,1,0.00007376,
0104-KAMERI 09,14,0.0010326,
0305-BHANAPURA-2,1,0.00007376,
0082-KUMBHOJ 07,2,0.00014751,
0164-SHAHAPUR 06_TUL,1,0.00007376,
0643-BAPA SITARAM CHOWK,1,0.00007376,
0125-RETHARE DHARAN 03,7,0.0005163,
0031-PAL-07,5,0.00036879,
0016-MOTI NAHER-BAMROLI,1,0.00007376,
0199-KACHNAR-B,3,0.00022127,
0312-OAD WAS NI CHALI,1,0.00007376,
0269-KASEGAON-07,11,0.00081133,
0121-PATHAVAT-3,1,0.00007376,
0222-BADODIYA BASTI-A,1,0.00007376,
0249-TORNA-3,4,0.00029503,
0220-PIPLAJ-4,3,0.00022127,
0628-ANDHAJ GAM,8,0.00059006,
0611-ARJUNPUR KOT-2,4,0.00029503,
0083-CHALALI,22,0.00162266,
0086-PUNADI 02,1,0.00007376,
0475-AZADEGAON-20,2,0.00014751,
0533-VAVNI MUVADI,7,0.0005163,
0159-BADNAGAR-D,1,0.00007376,
0180-KOROCHI 10,9,0.00066381,
0160-ASHTA-15,4,0.00029503,
0428-RAMESH COLONY SARDAR NAGAR,6,0.00044254,
0243-RAM NAGAR KANJUR - 01,1,0.00007376,
0210-ZALABHAI NI MUVADI,2,0.00014751,
0322-YELUR-07,7,0.0005163,
0227-RANIPUR-3,3,0.00022127,
0159-SHIVSHAKTI NAGAR-02,1,0.00007376,
0289-AURAWAD 04,11,0.00081133,
0427-BHAVSAR NI CHALI,5,0.00036879,
0472-MEDAVALI CHALI,2,0.00014751,
0291-ASHTA 21,5,0.00036879,
0216-TYOD-B,5,0.00036879,
0119-BHANDUP GAV-07,2,0.00014751,
0652-CHHOTALALNI CHALI,4,0.00029503,
0373-AMBAPURA NI CHALI-1,2,0.00014751,
0137-SAWANT PLOT-03,5,0.00036879,
0094-LIMBONI BAUG-12,1,0.00007376,
0272-HOUSING BOARD 18,5,0.00036879,
0229-RAVIVAR PETH 09,2,0.00014751,
0181-JORAPURA-2,1,0.00007376,
0422-ASHELEPADA-23,4,0.00029503,
0332-KUMBHOJ-15,12,0.00088509,
0217-GOVIND VATIKA-A,7,0.0005163,
0243-RAJYOPADHENAGAR 06,1,0.00007376,
0029-CHAKALIYA NO KUVO,7,0.0005163,
0185-INDIRA NAGAR,1,0.00007376,
0164-AMITPARK,2,0.00014751,
0088-GAUNDVADI 01,9,0.00066381,
0447-SAMRAT ASHOK NAGAR-18,3,0.00022127,
0344-SIDDHARTH NAGAR 04,11,0.00081133,
0271-GOTKHINDI-07,5,0.00036879,
0335-NEHARUNAGAR ISLAMPUR-31,2,0.00014751,
0016-NINDAD-A,2,0.00014751,
0286-AKASH COLONY-4,8,0.00059006,
0369-PREM TEKDI-8,5,0.00036879,
0523-INDIRA NAGAR ODHAV,3,0.00022127,
0392-WATER TANK-06,1,0.00007376,
0049-JAY MAHADEV NAGAR,1,0.00007376,
0334-KRUNAL NAGAR,5,0.00036879,
0178-AMBEWADI 05,3,0.00022127,
0158-TAGORE NAGAR MASJID-1,1,0.00007376,
0523-SARASVANI-2,2,0.00014751,
0003-SHYAM COLONY-A,2,0.00014751,
0204-BELAVADE BU-01,1,0.00007376,
0416-URMILANAGAR,13,0.00095884,
0131-ASHELE PADA,6,0.00044254,
0423-SHRI RAM COLONY,3,0.00022127,
0288-SONPUR-3,4,0.00029503,
0342-SHIVAJI NAGAR 05,1,0.00007376,
0076-HARIPURA-2,7,0.0005163,
0437-NETIVALI-38,1,0.00007376,
0171-PRAGPURA-E,1,0.00007376,
0289-SIDDHARTH NAGAR - 2,1,0.00007376,
0343-LBC BILDG NO-65,2,0.00014751,
0152-BAGANI-02,7,0.0005163,
0207-HUPARI 08,1,0.00007376,
0414-BABUSINH NI CHALI,7,0.0005163,
0265-SUTHAR VADU FALIYU,1,0.00007376,
0068-INDIRA NAGAR-7,1,0.00007376,
0075-NANDANI 04,7,0.0005163,
0217-CHETAN PARK-1,1,0.00007376,
0206-KASEGAON 06,7,0.0005163,
0377-BACHUKAKA NI CHLI,11,0.00081133,
0405-FATIYABAD-2,8,0.00059006,
0023-JAI SINGHPURA KHOR-A,3,0.00022127,
0168-VIDHAY NAGAR 04,5,0.00036879,
0346-LINE BAZAR 06,5,0.00036879,
0236-ASHTA-17,2,0.00014751,
0493-KANIYEL-11,2,0.00014751,
0202-BENAD ROAD B,7,0.0005163,
0577-A WARD KUBER NAGAR,4,0.00029503,
0443-JARIYA,8,0.00059006,
0292-MILIND NAGAR-8,1,0.00007376,
0170-PURANI BASTIC,3,0.00022127,
0457-AMIR BAUG - 06,1,0.00007376,
0251-JAGDAMBA COLONY-A,3,0.00022127,
0371-HAMALWADI A 1,7,0.0005163,
0130-UCHGAON 01,2,0.00014751,
0029-RUKADI GOSAVI GALLI 02,8,0.00059006,
0242-SUDARPURA-B,1,0.00007376,
0133-MADHAV NAGAR 02,9,0.00066381,
0354-WALWA-19,17,0.00125387,
0326-VITTHAL DHAM,5,0.00036879,
0274-KHUBI-02,4,0.00029503,
0235-JANTA NAGAR 02,6,0.00044254,
0098-GHATGATE-D,4,0.00029503,
0246-VASAGADE 07,4,0.00029503,
0437-KALESHWARI VISTAR,3,0.00022127,
0158-KUMBHOJ 12,6,0.00044254,
0209-SAKHARALE-09,3,0.00022127,
0485-WALDHUNI-11,1,0.00007376,
0087-AURWAD 01,4,0.00029503,
0627-BAGADU-7,1,0.00007376,
0049-BHAGATSING VASAHAT 02,4,0.00029503,
0165-AMBEDKAR ROAD-01,1,0.00007376,
0287-DHARMAVEER NAGAR 03,1,0.00007376,
0398-HOUSING BORD-29,4,0.00029503,
0096-NADI KA PHATAK-B,1,0.00007376,
0423-HARDAS NAGAR-05,3,0.00022127,
0369-D-SECTOR-17,1,0.00007376,
0589-SHIV SHANKARNA CHHAPRA,6,0.00044254,
0309-DEVKAPURA 5,1,0.00007376,
0307-LBC GANGA 03,6,0.00044254,
0345-MANI NAGAR-2,1,0.00007376,
0093-BUDHAGAON 07,6,0.00044254,
0306-PURANI HOUSING SOCIETY,6,0.00044254,
0199-SN AJMERI MASID-08,6,0.00044254,
0129-CHANDANI CHOWK 02,2,0.00014751,
0320-PRAGATI NAGAR NAROL,5,0.00036879,
0332-HEALTH QUATERS BAHERAMPURA,7,0.0005163,
0240-NEHARU NAGAR 01,6,0.00044254,
0107-GERATPUR-2,1,0.00007376,
0058-GANPATPURA-2,2,0.00014751,
0199-KHANJIRE MALA 02,5,0.00036879,
0310-SN LOTUS COLONY KOHINOOR 01,10,0.00073757,
0047-BUDDHA VIHAR-03,1,0.00007376,
0076-NALANDA NAGAR-3,1,0.00007376,
0123-NAGAON 02,1,0.00007376,
0356-WALWA-21,12,0.00088509,
0285-TISGAON PADA-2,1,0.00007376,
0343-TISGAON PADA-04,1,0.00007376,
0175-INGRUL 01,6,0.00044254,
0062-URUL-01,8,0.00059006,
0190-J-SECTOR-01,4,0.00029503,
0222-BORGAON 08,8,0.00059006,
0147-SIDDHARTH NAGAR 03,1,0.00007376,
0101-DEDIYO KA BAS-B,1,0.00007376,
0609-NISHAT PARK ADINATH NAGAR-3,4,0.00029503,
0072-AKUJ NAGAR 01,8,0.00059006,
0500-ANANDWADI-26,5,0.00036879,
0374-BIRLA COLLEGE 9,2,0.00014751,
0162-LUNIYAWAS-B,1,0.00007376,
0152-WAGHMARE POLT-01,3,0.00022127,
0048-KOROCHI 06,9,0.00066381,
0102-SHAHPUR NAGORIVAD,4,0.00029503,
0295-PREM TEKDI 1,6,0.00044254,
0181-UMALWAD 03,5,0.00036879,
0474-MILIND NAGAR-02,2,0.00014751,
0121-SHIROL 02,1,0.00007376,
0398-RANCHHODPURA-5,5,0.00036879,
0052-BELAWADE HAWALI-02,2,0.00014751,
0135-VASUDEV DHANJI NA CHHAPRA-2,2,0.00014751,
0124-VASANT NAGAR 01,14,0.0010326,
0181-KHARDEV NAGAR-01,1,0.00007376,
0145-BUDHGAON 09,2,0.00014751,
0240-SN HARI MASJID-02,9,0.00066381,
0246-RAMPURA 2,1,0.00007376,
0399-SN LC KGN-03,6,0.00044254,
0490-NAHERU NAGAR-2,3,0.00022127,
0008-KUMBHOJ SHAHU NAGAR-02,2,0.00014751,
0278-YAVALUJ 03,1,0.00007376,
0188-GANESH NAGAR 04,6,0.00044254,
0079-E-SECTOR-03,2,0.00014751,
0446-SN HARI MASJID-25,16,0.00118012,
0449-MENVAD,7,0.0005163,
0161-BORAJ-E,1,0.00007376,
0330-VASANT RAJAB NAGAR-1,4,0.00029503,
0242-NANI UMARVAN-4,1,0.00007376,
0325-ABDUL LAT 06,4,0.00029503,
0086-F-SECTOR-02,2,0.00014751,
0330-NATAPUR,10,0.00073757,
0027-ITKARE 01,1,0.00007376,
0026-TARDAL 02,6,0.00044254,
0070-GADH 2,3,0.00022127,
0114-GOKULPURA-D,1,0.00007376,
0229-MADHAVPURA MINAVADA,10,0.00073757,
0012-KOTHI FALIYA,1,0.00007376,
0295-GOKUL NAGAR 3,1,0.00007376,
0014-NALANDA NAGAR 2,7,0.0005163,
0313-HOUSING BOARD-23,7,0.0005163,
0174-UTTARESHWAR PETH 05,1,0.00007376,
0347-DEMALI-7,1,0.00007376,
0339-SHIVAJI NAGAR 07,1,0.00007376,
0152-PIYUSHBHAI KA CHHATRALAY,1,0.00007376,
0017-MEENA PALDI-B,2,0.00014751,
0405-BHATWADI-A,1,0.00007376,
0039-BELAWADE HAVELI-01,1,0.00007376,
0144-BHADAVA-F,2,0.00014751,
0335-LAXMICHAND NI CHALI,3,0.00022127,
0084-AMER ROAD-B,4,0.00029503,
0012-DULHE SINGH KI DHANI,1,0.00007376,
0316-NEVARIYA,1,0.00007376,
0418-KALI DUNGARI,1,0.00007376,
0260-BHABARU-B,3,0.00022127,
0296-YAVLUJ 04,4,0.00029503,
0234-NERLE-4,4,0.00029503,
0065-NANDANI-03,1,0.00007376,
0232-SHYAM NAGAR-B,1,0.00007376,
0376-ITKARE-07,2,0.00014751,
0043-SHENOLI 01,3,0.00022127,
0257-ERAL,3,0.00022127,
0221-PRATAP CHOUK 01,6,0.00044254,
0230-SANGMESHWAR NAGAR 02,1,0.00007376,
0396-RAGHUNATHPURA,7,0.0005163,
0071-TUPARI 04,16,0.00118012,
0024-SHIYE 02,1,0.00007376,
0060-SANGLI 17,3,0.00022127,
0117-TUJARPUR 01,1,0.00007376,
0019-KAVALPUR 01,4,0.00029503,
0099-KALETAR,7,0.0005163,
0510-NAVI VASAHAT-4,2,0.00014751,
0451-LBC HIRANANDANI-10,1,0.00007376,
0250-KALE-03,6,0.00044254,
0463-PHULE NAGAR-02,1,0.00007376,
0039-MAHADA COLONY KANJUR,2,0.00014751,
0505-NAVI VASAHAT-3,3,0.00022127,
0369-KHANPATLA-2,5,0.00036879,
0126-RAMBAG-01,3,0.00022127,
0157-JAYSINGPUR 21,10,0.00073757,
0008-ROADPALI-01,1,0.00007376,
0033-LAXTIRTHA VASAHAT 01,3,0.00022127,
0035-MUNDIYAGARH-A,2,0.00014751,
0318-YAVLUJ VIKAS NAGAR 01,4,0.00029503,
0127-CHORA DUNGARI,1,0.00007376,
0522-POOJA COLONY,1,0.00007376,
0171-BHAGWAN VIHAR-B,1,0.00007376,
0344-SAI COLONY SHIROLI 01,3,0.00022127,
0196-GAON BHAG 05,2,0.00014751,
0283-MURLIPURA-B,2,0.00014751,
0247-D-SECTOR-12,1,0.00007376,
0191-ASHELE PADA-8,2,0.00014751,
0620-GUJ HOU BOARD-2,2,0.00014751,
0444-LAL CHAKKI-09,1,0.00007376,
0433-BACHUKAKKAL NI CHALI,9,0.00066381,
0279-DUDHAGAON 02,3,0.00022127,
0218-THANAPUDE-01,8,0.00059006,
0077-JHOTWADA-A,4,0.00029503,
0182-GHOGAON 02,2,0.00014751,
0154-DHANI GUMANSINGH-A,10,0.00073757,
0280-PADALKAR VASAHAT 02,4,0.00029503,
0313-RAMABAI NAGAR-07,1,0.00007376,
0220-KANNAMWAR NAGAR 13,1,0.00007376,
0163-DURGAMATA NAGAR-1,1,0.00007376,
0527-SHIVSHAKTI NAGAR,9,0.00066381,
0382-RETI BUNDER ROAD-01,8,0.00059006,
0172-SAIJPUR-B,4,0.00029503,
0369-TADHODIYA-7,1,0.00007376,
0422-NEW KING KONG,1,0.00007376,
0083-PARERA NAGAR-03,1,0.00007376,
0375-AMBEDKAR NAGAR 08,4,0.00029503,
0473-BHILWAS-2,1,0.00007376,
0348-PREM TEKDI - 6,4,0.00029503,
0222-GOVINDWADI RETIBUNDER,6,0.00044254,
0395-DNYANESHWAR NAGAR-D,2,0.00014751,
0127-RAMJIPURA-C,2,0.00014751,
0168-SHYAM NAGAR-A HIRAPURA,1,0.00007376,
0101-AURWAD 02,2,0.00014751,
0442-PANCHAPARMESHWAR-01,4,0.00029503,
0303-KAMLAKAR NAGAR-10,5,0.00036879,
0138-INDIRA NAGAR-01,5,0.00036879,
0201-BHILWADI STATION 03,10,0.00073757,
0212-LAXMI BAUG-01,3,0.00022127,
0314-KADIYANI CHALI-3,4,0.00029503,
0140-VETAL PATH 01,8,0.00059006,
0397-GOKUL SHERRY,2,0.00014751,
0368-RAM NAGAR,8,0.00059006,
0095-BASADA-A,2,0.00014751,
0581-THAKOR WAS,2,0.00014751,
0234-PARMARPURA,1,0.00007376,
0110-BUDH VIHAR-7,3,0.00022127,
0274-KAMLAKAR NAGR 09,3,0.00022127,
0392-DHUPNAGAR,9,0.00066381,
0006-PAL 01,9,0.00066381,
0439-RUPADEVI TEKDI-02,2,0.00014751,
0242-TAKAVADE 10,6,0.00044254,
0012-MALGAON-03,5,0.00036879,
0320-VISHNU NI CHALI,1,0.00007376,
0482-KUBERPURA BHIL WAS,1,0.00007376,
0486-SALOD,9,0.00066381,
0116-MIRAPURI KAROLI,2,0.00014751,
0352-YELUR-09,7,0.0005163,
0362-MANPADA 11,1,0.00007376,
0012-WALWA-1,6,0.00044254,
0332-KHANDIYA-2,1,0.00007376,
0353-ORVADA-3,4,0.00029503,
0135-DEVTAKUVA - 3,10,0.00073757,
0406-GAIKWAD NAGAR-06,6,0.00044254,
0425-JANIYAPIR NO TEKARO-6,1,0.00007376,
0376-UCHGAON 11,4,0.00029503,
0065-NANDRE 07,2,0.00014751,
0342-HOUSING BORD - 26,6,0.00044254,
0205-TULSIPADA 08,1,0.00007376,
0207-SHIVAJI NAGAR-19,1,0.00007376,
0201-ISLAMPUR 13,2,0.00014751,
0026-LALJINAGAR,4,0.00029503,
0048-TATA NAGAR-03,8,0.00059006,
0116-PINGALI-B,3,0.00022127,
0354-AMBEDKAR ROAD 2,1,0.00007376,
0195-HADCO COLONY 05,4,0.00029503,
0291-SUBHASH NAGAR-01,3,0.00022127,
0315-SHAHPUR GANESH NAGAR-02,9,0.00066381,
0359-GANA-C,1,0.00007376,
0153-SHANIVAR PETH 03,2,0.00014751,
0091-BHADWA-D,15,0.00110636,
0230-MOHAN DAS WALI-D,2,0.00014751,
0314-NANI UMARVAN-6,1,0.00007376,
0252-RUPPURA-2,2,0.00014751,
0444-AMRUT NAGAR-2,2,0.00014751,
0066-YADRAV-03,6,0.00044254,
0260-JAYSINGPUR 29,11,0.00081133,
0399-KHANPATLA-3,8,0.00059006,
0380-GAIKWAD PADA-14,1,0.00007376,
0254-NANDANI-06,5,0.00036879,
0214-KUNJRAO,1,0.00007376,
0171-SN JAFRI SCHOOL -7,2,0.00014751,
0138-NEW BALAJI-3,4,0.00029503,
0218-KUMBHOJ 14,2,0.00014751,
0644-RUPAPURA SEEM VISTAR,1,0.00007376,
0217-SAIJPUR-3,3,0.00022127,
0204-KOONI-A,1,0.00007376,
0155-RAVIVAR PETH-06,5,0.00036879,
0396-SURAMYA APARTMENT,2,0.00014751,
0410-VIMALA HOSPITAL,2,0.00014751,
0289-JANTA NAGAR - 03,5,0.00036879,
0517-GOVERMENT D COLONY,1,0.00007376,
0406-VIROD,1,0.00007376,
0293-PURANI HOUSING SOCIETY,4,0.00029503,
0143-TULSHET PADA-05,1,0.00007376,
0196-DEKKAN-03,5,0.00036879,
0195-ASHRA NAGAR 01,7,0.0005163,
0287-NANDIVALI-19,2,0.00014751,
0116-VIDHYA NAGAR-02,1,0.00007376,
0136-KARANA-E,9,0.00066381,
0232-NAGAV 05,1,0.00007376,
0244-SONPUR - 2,3,0.00022127,
0070-MHADA COLONY KANJUR-04,2,0.00014751,
0200-AKUJ NAGAR 03,23,0.00169642,
0090-ROJADI-C,2,0.00014751,
0561-D WARD KUBER NAGAR,2,0.00014751,
0432-JAMALPUR-3,5,0.00036879,
0014-MAHIJIPURA,11,0.00081133,
0041-KARAD-09,7,0.0005163,
0114-SHIRADWAD 02,4,0.00029503,
0169-UMALWAD 01,1,0.00007376,
0093-MANDHA BHIMSINGH-C,1,0.00007376,
0166-HOLI CHOK PAOTA,2,0.00014751,
0450-SANTARAMPURA,3,0.00022127,
0237-TAKAVADE 09,8,0.00059006,
0264-MAL GALLI KASABA BAWADA 01,1,0.00007376,
0364-TAMBAVE-02,3,0.00022127,
0121-GUDHA BERSAL-B,1,0.00007376,
0048-TANDULWADI 01,7,0.0005163,
0261-DHAMNI,6,0.00044254,
0256-SHIV TEKADI-03,2,0.00014751,
0089-HOUSING BOARD-7,1,0.00007376,
0239-PRAKASH NAGAR 08,6,0.00044254,
0280-HINGONIYA -C,2,0.00014751,
0073-CHIPRI 05,5,0.00036879,
0406-KANTI NAGAR,1,0.00007376,
0281-KASEGAON-08,9,0.00066381,
0245-ISLAMPUR-19,4,0.00029503,
0116-BADA GAON B,10,0.00073757,
0223-WATEGAON 04,11,0.00081133,
0040-ITAKARE-02,1,0.00007376,
0065-GHATGATE-C,4,0.00029503,
0134-KARAD-B,1,0.00007376,
0319-D-SECTOR 15,8,0.00059006,
0284-RETHAREDHARAN-06,9,0.00066381,
0202-VIKRAM NAGAR 03,7,0.0005163,
0137-KISAN NAGAR-9,2,0.00014751,
0060-BHESAL-2,4,0.00029503,
0142-BAGAWAS-C,2,0.00014751,
0164-KILLE MACHINDRA GAD 05,8,0.00059006,
0183-NEVARIYA,4,0.00029503,
0369-AITAWADE BU-04,2,0.00014751,
0412-TALAV MUVADA-3,8,0.00059006,
0254-FATEHPURA KALAN- A,10,0.00073757,
0159-GHOTKHINDI-06,2,0.00014751,
0447-RANGOLI NAGAR-2,9,0.00066381,
0081-SHIVAJI NAGAR-10,4,0.00029503,
0153-SHIVAJI NAGAR-13,2,0.00014751,
0043-YADRAV-01,3,0.00022127,
0258-SHAHAPUR 16,7,0.0005163,
0249-BIRLA COLLEGE,3,0.00022127,
0260-LB INDIRA NAGAR - 06,9,0.00066381,
0329-DUNGARIPURA-3,10,0.00073757,
0443-PIPLATA SIM,1,0.00007376,
0235-SAHKAR NAGAR 06,6,0.00044254,
0450-TORNA-6,7,0.0005163,
0392-SODAGE MALA 01,11,0.00081133,
0278-DELOL,1,0.00007376,
0342-FATEHPURA KALAN-B,4,0.00029503,
0277-ISLAMPUR TAKALAINAGAR-12,1,0.00007376,
0408-VISHWANATHPURA,1,0.00007376,
0456-KOLSEWADI-16,6,0.00044254,
0370-MUNICIPAL SLUM QUARTERS,3,0.00022127,
0118-KUMAHRO KA MOHLLA-A,1,0.00007376,
0038-KARANA-A,1,0.00007376,
0176-DUNGRIPURA,15,0.00110636,
0274-RUI 06,9,0.00066381,
0089-DURGAMATA MANDIR-02,1,0.00007376,
0356-GANESH NAGAR 2,1,0.00007376,
0296-KAMLAKAR NAGAR-11,1,0.00007376,
0371-NEW BHENDIPADA-16,3,0.00022127,
0294-BAWADA SAPKAL NAGAR 02,4,0.00029503,
0532-NILAM PARK,1,0.00007376,
0355-C SECTOR 08,3,0.00022127,
0033-INDIRANAGAR-1,8,0.00059006,
0507-DUDHELI,4,0.00029503,
0182-BAMROLI-2,1,0.00007376,
0146-BHALOJI-C,3,0.00022127,
0056-SIDDHARTH NAGAR-02,1,0.00007376,
0193-BHANKRI-G,3,0.00022127,
0332-KHARDEV NAGAR 16,3,0.00022127,
0328-JAGTAP NAGAR 01,7,0.0005163,
0257-UGARIYAWAS-D,1,0.00007376,
0032-ROJADI-B,4,0.00029503,
0400-SUBHASH TEKDI-23,1,0.00007376,
0099-HATKANANGALE 05,5,0.00036879,
0231-KURUNWAD 11,10,0.00073757,
0170-SHIVAJI NAGAR-02,1,0.00007376,
0477-GANESH NAGAR-2,1,0.00007376,
0329-WALWA-18,13,0.00095884,
0119-JAYSINGPUR14,5,0.00036879,
0334-SAJORA-2,2,0.00014751,
0097-CHALALI,4,0.00029503,
0047-DAYRA FALIYU,2,0.00014751,
0240-AMBEDKAR NAGAR - 06,10,0.00073757,
0291-WALDHUNI-9,1,0.00007376,
0333-RAYALA DEVI,1,0.00007376,
0109-SURJPURA,1,0.00007376,
0436-LIMBONI BAUG-24,2,0.00014751,
